,Unnamed: 0,year,alcohol per capita,country
163,44,2007,6.34,Russian Federation
164,45,2008,6.16,Russian Federation
165,46,2009,5.79,Russian Federation
166,47,2010,5.06,Russian Federation
167,48,2011,5.04,Russian Federation
168,49,2012,4.95,Russian Federation
169,50,2013,4.36,Russian Federation
170,51,2014,3.6,Russian Federation
171,52,2015,3.36,Russian Federation
172,53,2016,3.25,Russian Federation
173,54,2017,3.02,Russian Federation
174,55,2018,2.81,Russian Federation
175,56,2019,2.6,Russian Federation
