continent,country,year,age,suicides_no,population,gdp_per_capita ($),s_rate,oecd
Oceania,AUSTRALIA,1985,15-24 years,384,2659800,12374,14.44,1
Oceania,AUSTRALIA,1985,25-34 years,421,2575000,12374,16.35,1
Oceania,AUSTRALIA,1985,35-54 years,554,3739500,12374,14.81,1
Oceania,AUSTRALIA,1985,5-14 years,8,2522000,12374,0.32,1
Oceania,AUSTRALIA,1985,55-74 years,391,2464300,12374,15.87,1
Oceania,AUSTRALIA,1985,75+ years,103,601900,12374,17.11,1
Oceania,AUSTRALIA,1986,15-24 years,373,2684000,12288,13.9,1
Oceania,AUSTRALIA,1986,25-34 years,455,2617700,12288,17.38,1
Oceania,AUSTRALIA,1986,35-54 years,656,3860100,12288,16.99,1
Oceania,AUSTRALIA,1986,5-14 years,19,2491000,12288,0.76,1
Oceania,AUSTRALIA,1986,55-74 years,429,2518300,12288,17.04,1
Oceania,AUSTRALIA,1986,75+ years,112,638700,12288,17.54,1
Oceania,AUSTRALIA,1987,15-24 years,427,2713600,12564,15.74,1
Oceania,AUSTRALIA,1987,25-34 years,444,2673600,12564,16.61,1
Oceania,AUSTRALIA,1987,35-54 years,699,3981500,12564,17.56,1
Oceania,AUSTRALIA,1987,5-14 years,7,2466200,12564,0.28,1
Oceania,AUSTRALIA,1987,55-74 years,438,2545600,12564,17.21,1
Oceania,AUSTRALIA,1987,75+ years,149,666000,12564,22.37,1
Oceania,AUSTRALIA,1988,15-24 years,419,2736100,15393,15.31,1
Oceania,AUSTRALIA,1988,25-34 years,504,2729800,15393,18.46,1
Oceania,AUSTRALIA,1988,35-54 years,689,4116100,15393,16.74,1
Oceania,AUSTRALIA,1988,5-14 years,7,2464700,15393,0.28,1
Oceania,AUSTRALIA,1988,55-74 years,420,2570900,15393,16.34,1
Oceania,AUSTRALIA,1988,75+ years,133,694500,15393,19.15,1
Oceania,AUSTRALIA,1989,15-24 years,404,2749000,19223,14.7,1
Oceania,AUSTRALIA,1989,25-34 years,493,2782800,19223,17.72,1
Oceania,AUSTRALIA,1989,35-54 years,605,4243600,19223,14.26,1
Oceania,AUSTRALIA,1989,5-14 years,9,2481100,19223,0.36,1
Oceania,AUSTRALIA,1989,55-74 years,433,2595400,19223,16.68,1
Oceania,AUSTRALIA,1989,75+ years,122,718700,19223,16.98,1
Oceania,AUSTRALIA,1990,15-24 years,438,2760700,19665,15.87,1
Oceania,AUSTRALIA,1990,25-34 years,527,2816200,19665,18.71,1
Oceania,AUSTRALIA,1990,35-54 years,685,4375400,19665,15.66,1
Oceania,AUSTRALIA,1990,5-14 years,5,2496800,19665,0.2,1
Oceania,AUSTRALIA,1990,55-74 years,423,2615400,19665,16.17,1
Oceania,AUSTRALIA,1990,75+ years,124,742500,19665,16.7,1
Oceania,AUSTRALIA,1991,15-24 years,438,2760800,20320,15.86,1
Oceania,AUSTRALIA,1991,25-34 years,518,2825400,20320,18.33,1
Oceania,AUSTRALIA,1991,35-54 years,800,4498700,20320,17.78,1
Oceania,AUSTRALIA,1991,5-14 years,10,2513800,20320,0.4,1
Oceania,AUSTRALIA,1991,55-74 years,369,2644900,20320,13.95,1
Oceania,AUSTRALIA,1991,75+ years,153,768500,20320,19.91,1
Oceania,AUSTRALIA,1992,15-24 years,460,2756600,20050,16.69,1
Oceania,AUSTRALIA,1992,25-34 years,503,2829800,20050,17.78,1
Oceania,AUSTRALIA,1992,35-54 years,723,4617100,20050,15.66,1
Oceania,AUSTRALIA,1992,5-14 years,6,2528600,20050,0.24,1
Oceania,AUSTRALIA,1992,55-74 years,427,2675700,20050,15.96,1
Oceania,AUSTRALIA,1992,75+ years,132,795700,20050,16.59,1
Oceania,AUSTRALIA,1993,15-24 years,382,2746400,19030,13.91,1
Oceania,AUSTRALIA,1993,25-34 years,468,2823000,19030,16.58,1
Oceania,AUSTRALIA,1993,35-54 years,684,4729600,19030,14.46,1
Oceania,AUSTRALIA,1993,5-14 years,7,2539700,19030,0.28,1
Oceania,AUSTRALIA,1993,55-74 years,368,2713100,19030,13.56,1
Oceania,AUSTRALIA,1993,75+ years,129,818200,19030,15.77,1
Oceania,AUSTRALIA,1994,15-24 years,432,2732700,19469,15.81,1
Oceania,AUSTRALIA,1994,25-34 years,514,2826400,19469,18.19,1
Oceania,AUSTRALIA,1994,35-54 years,810,4841500,19469,16.73,1
Oceania,AUSTRALIA,1994,5-14 years,4,2553300,19469,0.16,1
Oceania,AUSTRALIA,1994,55-74 years,390,2756700,19469,14.15,1
Oceania,AUSTRALIA,1994,75+ years,133,838800,19469,15.86,1
Oceania,AUSTRALIA,1995,15-24 years,399,2695900,21902,14.8,1
Oceania,AUSTRALIA,1995,25-34 years,531,2838600,21902,18.71,1
Oceania,AUSTRALIA,1995,35-54 years,767,4979600,21902,15.4,1
Oceania,AUSTRALIA,1995,5-14 years,4,2587800,21902,0.15,1
Oceania,AUSTRALIA,1995,55-74 years,353,2796900,21902,12.62,1
Oceania,AUSTRALIA,1995,75+ years,116,867500,21902,13.37,1
Oceania,AUSTRALIA,1996,15-24 years,425,2676000,23526,15.88,1
Oceania,AUSTRALIA,1996,25-34 years,569,2862600,23526,19.88,1
Oceania,AUSTRALIA,1996,35-54 years,851,5119800,23526,16.62,1
Oceania,AUSTRALIA,1996,5-14 years,15,2614300,23526,0.57,1
Oceania,AUSTRALIA,1996,55-74 years,416,2833100,23526,14.68,1
Oceania,AUSTRALIA,1996,75+ years,150,909300,23526,16.5,1
Oceania,AUSTRALIA,1997,15-24 years,494,2636351,25234,18.74,1
Oceania,AUSTRALIA,1997,25-34 years,638,2878456,25234,22.16,1
Oceania,AUSTRALIA,1997,35-54 years,936,5246536,25234,17.84,1
Oceania,AUSTRALIA,1997,5-14 years,14,2630231,25234,0.53,1
Oceania,AUSTRALIA,1997,55-74 years,401,2881393,25234,13.92,1
Oceania,AUSTRALIA,1997,75+ years,163,948333,25234,17.19,1
Oceania,AUSTRALIA,1998,15-24 years,434,2610989,22897,16.62,1
Oceania,AUSTRALIA,1998,25-34 years,688,2877303,22897,23.91,1
Oceania,AUSTRALIA,1998,35-54 years,975,5368871,22897,18.16,1
Oceania,AUSTRALIA,1998,5-14 years,8,2646336,22897,0.3,1
Oceania,AUSTRALIA,1998,55-74 years,391,2930903,22897,13.34,1
Oceania,AUSTRALIA,1998,75+ years,136,987328,22897,13.77,1
Oceania,AUSTRALIA,1999,15-24 years,373,2604091,22016,14.32,1
Oceania,AUSTRALIA,1999,25-34 years,628,2875623,22016,21.84,1
Oceania,AUSTRALIA,1999,35-54 years,942,5468826,22016,17.22,1
Oceania,AUSTRALIA,1999,5-14 years,16,2666719,22016,0.6,1
Oceania,AUSTRALIA,1999,55-74 years,389,2998789,22016,12.97,1
Oceania,AUSTRALIA,1999,75+ years,140,1027654,22016,13.62,1
Oceania,AUSTRALIA,2000,15-24 years,349,2618294,23219,13.33,1
Oceania,AUSTRALIA,2000,25-34 years,572,2876032,23219,19.89,1
Oceania,AUSTRALIA,2000,35-54 years,945,5552335,23219,17.02,1
Oceania,AUSTRALIA,2000,5-14 years,9,2687097,23219,0.33,1
Oceania,AUSTRALIA,2000,55-74 years,368,3071680,23219,11.98,1
Oceania,AUSTRALIA,2000,75+ years,148,1068972,23219,13.85,1
Oceania,AUSTRALIA,2001,15-24 years,343,2655157,20860,12.92,1
Oceania,AUSTRALIA,2001,25-34 years,598,2873696,20860,20.81,1
Oceania,AUSTRALIA,2001,35-54 years,978,5630832,20860,17.37,1
Oceania,AUSTRALIA,2001,5-14 years,8,2704841,20860,0.3,1
Oceania,AUSTRALIA,2001,55-74 years,377,3151716,20860,11.96,1
Oceania,AUSTRALIA,2001,75+ years,154,1114641,20860,13.82,1
Oceania,AUSTRALIA,2002,15-24 years,304,2689297,21474,11.3,1
Oceania,AUSTRALIA,2002,25-34 years,555,2877313,21474,19.29,1
Oceania,AUSTRALIA,2002,35-54 years,957,5666121,21474,16.89,1
Oceania,AUSTRALIA,2002,5-14 years,8,2713257,21474,0.29,1
Oceania,AUSTRALIA,2002,55-74 years,358,3270335,21474,10.95,1
Oceania,AUSTRALIA,2002,75+ years,137,1153735,21474,11.87,1
Oceania,AUSTRALIA,2003,15-24 years,291,2728178,25059,10.67,1
Oceania,AUSTRALIA,2003,25-34 years,500,2881767,25059,17.35,1
Oceania,AUSTRALIA,2003,35-54 years,849,5709493,25059,14.87,1
Oceania,AUSTRALIA,2003,5-14 years,14,2716921,25059,0.52,1
Oceania,AUSTRALIA,2003,55-74 years,375,3379047,25059,11.1,1
Oceania,AUSTRALIA,2003,75+ years,127,1192623,25059,10.65,1
Oceania,AUSTRALIA,2004,15-24 years,272,2784934,32454,9.77,1
Oceania,AUSTRALIA,2004,25-34 years,468,2887876,32454,16.21,1
Oceania,AUSTRALIA,2004,35-54 years,838,5771043,32454,14.52,1
Oceania,AUSTRALIA,2004,5-14 years,8,2731937,32454,0.29,1
Oceania,AUSTRALIA,2004,55-74 years,362,3463213,32454,10.45,1
Oceania,AUSTRALIA,2004,75+ years,166,1215548,32454,13.66,1
Oceania,AUSTRALIA,2006,15-24 years,298,2835481,39014,10.51,1
Oceania,AUSTRALIA,2006,25-34 years,351,2887512,39014,12.16,1
Oceania,AUSTRALIA,2006,35-54 years,881,5829030,39014,15.11,1
Oceania,AUSTRALIA,2006,5-14 years,8,2736566,39014,0.29,1
Oceania,AUSTRALIA,2006,55-74 years,424,3570671,39014,11.87,1
Oceania,AUSTRALIA,2006,75+ years,155,1249986,39014,12.4,1
Oceania,AUSTRALIA,2007,15-24 years,300,2955943,43171,10.15,1
Oceania,AUSTRALIA,2007,25-34 years,431,2931183,43171,14.7,1
Oceania,AUSTRALIA,2007,35-54 years,906,6003225,43171,15.09,1
Oceania,AUSTRALIA,2007,5-14 years,12,2745566,43171,0.44,1
Oceania,AUSTRALIA,2007,55-74 years,423,3788638,43171,11.16,1
Oceania,AUSTRALIA,2007,75+ years,157,1309875,43171,11.99,1
Oceania,AUSTRALIA,2008,15-24 years,288,3034079,52315,9.49,1
Oceania,AUSTRALIA,2008,25-34 years,444,3007001,52315,14.77,1
Oceania,AUSTRALIA,2008,35-54 years,996,6082370,52315,16.38,1
Oceania,AUSTRALIA,2008,5-14 years,11,2752276,52315,0.4,1
Oceania,AUSTRALIA,2008,55-74 years,454,3909913,52315,11.61,1
Oceania,AUSTRALIA,2008,75+ years,148,1334673,52315,11.09,1
Oceania,AUSTRALIA,2009,15-24 years,276,3112175,45128,8.87,1
Oceania,AUSTRALIA,2009,25-34 years,439,3108511,45128,14.12,1
Oceania,AUSTRALIA,2009,35-54 years,976,6156578,45128,15.85,1
Oceania,AUSTRALIA,2009,5-14 years,3,2763179,45128,0.11,1
Oceania,AUSTRALIA,2009,55-74 years,465,4029872,45128,11.54,1
Oceania,AUSTRALIA,2009,75+ years,178,1359002,45128,13.1,1
Oceania,AUSTRALIA,2010,15-24 years,302,3140512,54887,9.62,1
Oceania,AUSTRALIA,2010,25-34 years,405,3186431,54887,12.71,1
Oceania,AUSTRALIA,2010,35-54 years,1044,6209387,54887,16.81,1
Oceania,AUSTRALIA,2010,5-14 years,11,2769182,54887,0.4,1
Oceania,AUSTRALIA,2010,55-74 years,464,4154625,54887,11.17,1
Oceania,AUSTRALIA,2010,75+ years,194,1387410,54887,13.98,1
Oceania,AUSTRALIA,2011,15-24 years,335,3065122,66770,10.93,1
Oceania,AUSTRALIA,2011,25-34 years,432,3194331,66770,13.52,1
Oceania,AUSTRALIA,2011,35-54 years,934,6197054,66770,15.07,1
Oceania,AUSTRALIA,2011,5-14 years,16,2775499,66770,0.58,1
Oceania,AUSTRALIA,2011,55-74 years,484,4243924,66770,11.4,1
Oceania,AUSTRALIA,2011,75+ years,191,1405980,66770,13.58,1
Oceania,AUSTRALIA,2012,15-24 years,326,3083606,72669,10.57,1
Oceania,AUSTRALIA,2012,25-34 years,449,3287715,72669,13.66,1
Oceania,AUSTRALIA,2012,35-54 years,1060,6248283,72669,16.96,1
Oceania,AUSTRALIA,2012,5-14 years,16,2811182,72669,0.57,1
Oceania,AUSTRALIA,2012,55-74 years,519,4369159,72669,11.88,1
Oceania,AUSTRALIA,2012,75+ years,210,1438964,72669,14.59,1
Oceania,AUSTRALIA,2013,15-24 years,362,3104318,72856,11.66,1
Oceania,AUSTRALIA,2013,25-34 years,424,3379049,72856,12.55,1
Oceania,AUSTRALIA,2013,35-54 years,1029,6290306,72856,16.36,1
Oceania,AUSTRALIA,2013,5-14 years,22,2853685,72856,0.77,1
Oceania,AUSTRALIA,2013,55-74 years,563,4497970,72856,12.52,1
Oceania,AUSTRALIA,2013,75+ years,208,1474852,72856,14.1,1
Oceania,AUSTRALIA,2014,15-24 years,367,3125890,66809,11.74,1
Oceania,AUSTRALIA,2014,25-34 years,523,3447771,66809,15.17,1
Oceania,AUSTRALIA,2014,35-54 years,1143,6319816,66809,18.09,1
Oceania,AUSTRALIA,2014,5-14 years,21,2894512,66809,0.73,1
Oceania,AUSTRALIA,2014,55-74 years,628,4623758,66809,13.58,1
Oceania,AUSTRALIA,2014,75+ years,209,1515840,66809,13.79,1
Oceania,AUSTRALIA,2015,15-24 years,391,3135295,60656,12.47,1
Oceania,AUSTRALIA,2015,25-34 years,542,3509980,60656,15.44,1
Oceania,AUSTRALIA,2015,35-54 years,1238,6352942,60656,19.49,1
Oceania,AUSTRALIA,2015,5-14 years,14,2935661,60656,0.48,1
Oceania,AUSTRALIA,2015,55-74 years,609,4748773,60656,12.82,1
Oceania,AUSTRALIA,2015,75+ years,233,1558134,60656,14.95,1
Europe,AUSTRIA,1985,15-24 years,257,1287320,9759,19.96,1
Europe,AUSTRIA,1985,25-34 years,288,1093548,9759,26.34,1
Europe,AUSTRIA,1985,35-54 years,701,1877325,9759,37.34,1
Europe,AUSTRIA,1985,5-14 years,8,928933,9759,0.86,1
Europe,AUSTRIA,1985,55-74 years,575,1427231,9759,40.29,1
Europe,AUSTRIA,1985,75+ years,262,495758,9759,52.85,1
Europe,AUSTRIA,1986,15-24 years,259,1271143,13911,20.38,1
Europe,AUSTRIA,1986,25-34 years,352,1122665,13911,31.35,1
Europe,AUSTRIA,1986,35-54 years,689,1885593,13911,36.54,1
Europe,AUSTRIA,1986,5-14 years,6,912169,13911,0.66,1
Europe,AUSTRIA,1986,55-74 years,550,1423454,13911,38.64,1
Europe,AUSTRIA,1986,75+ years,283,504125,13911,56.14,1
Europe,AUSTRIA,1987,15-24 years,234,1244626,17415,18.8,1
Europe,AUSTRIA,1987,25-34 years,309,1154917,17415,26.76,1
Europe,AUSTRIA,1987,35-54 years,626,1896943,17415,33.0,1
Europe,AUSTRIA,1987,5-14 years,4,901824,17415,0.44,1
Europe,AUSTRIA,1987,55-74 years,562,1417984,17415,39.63,1
Europe,AUSTRIA,1987,75+ years,334,513712,17415,65.02,1
Europe,AUSTRIA,1988,15-24 years,196,1211473,18663,16.18,1
Europe,AUSTRIA,1988,25-34 years,290,1188739,18663,24.4,1
Europe,AUSTRIA,1988,35-54 years,575,1912931,18663,30.06,1
Europe,AUSTRIA,1988,5-14 years,4,897050,18663,0.45,1
Europe,AUSTRIA,1988,55-74 years,495,1410644,18663,35.09,1
Europe,AUSTRIA,1988,75+ years,291,523573,18663,55.58,1
Europe,AUSTRIA,1989,15-24 years,211,1182013,18544,17.85,1
Europe,AUSTRIA,1989,25-34 years,283,1229529,18544,23.02,1
Europe,AUSTRIA,1989,35-54 years,558,1936444,18544,28.82,1
Europe,AUSTRIA,1989,5-14 years,6,896423,18544,0.67,1
Europe,AUSTRIA,1989,55-74 years,540,1402235,18544,38.51,1
Europe,AUSTRIA,1989,75+ years,300,531022,18544,56.49,1
Europe,AUSTRIA,1990,15-24 years,181,1157733,23020,15.63,1
Europe,AUSTRIA,1990,25-34 years,262,1273824,23020,20.57,1
Europe,AUSTRIA,1990,35-54 years,568,1970061,23020,28.83,1
Europe,AUSTRIA,1990,5-14 years,3,898998,23020,0.33,1
Europe,AUSTRIA,1990,55-74 years,493,1400304,23020,35.21,1
Europe,AUSTRIA,1990,75+ years,318,530433,23020,59.95,1
Europe,AUSTRIA,1991,15-24 years,187,1133209,23808,16.5,1
Europe,AUSTRIA,1991,25-34 years,246,1315459,23808,18.7,1
Europe,AUSTRIA,1991,35-54 years,547,2014754,23808,27.15,1
Europe,AUSTRIA,1991,5-14 years,2,907595,23808,0.22,1
Europe,AUSTRIA,1991,55-74 years,480,1409889,23808,34.05,1
Europe,AUSTRIA,1991,75+ years,307,518822,23808,59.17,1
Europe,AUSTRIA,1992,15-24 years,175,1106796,26450,15.81,1
Europe,AUSTRIA,1992,25-34 years,254,1351968,26450,18.79,1
Europe,AUSTRIA,1992,35-54 years,568,2066311,26450,27.49,1
Europe,AUSTRIA,1992,5-14 years,6,921770,26450,0.65,1
Europe,AUSTRIA,1992,55-74 years,479,1425806,26450,33.6,1
Europe,AUSTRIA,1992,75+ years,277,502717,26450,55.1,1
Europe,AUSTRIA,1993,15-24 years,154,1074186,25611,14.34,1
Europe,AUSTRIA,1993,25-34 years,282,1379799,25611,20.44,1
Europe,AUSTRIA,1993,35-54 years,517,2113064,25611,24.47,1
Europe,AUSTRIA,1993,5-14 years,10,934063,25611,1.07,1
Europe,AUSTRIA,1993,55-74 years,453,1445301,25611,31.34,1
Europe,AUSTRIA,1993,75+ years,288,487156,25611,59.12,1
Europe,AUSTRIA,1994,15-24 years,170,1036137,27274,16.41,1
Europe,AUSTRIA,1994,25-34 years,265,1391653,27274,19.04,1
Europe,AUSTRIA,1994,35-54 years,583,2135844,27274,27.3,1
Europe,AUSTRIA,1994,5-14 years,11,941387,27274,1.17,1
Europe,AUSTRIA,1994,55-74 years,480,1476675,27274,32.51,1
Europe,AUSTRIA,1994,75+ years,267,480856,27274,55.53,1
Europe,AUSTRIA,1995,15-24 years,153,1004630,32237,15.23,1
Europe,AUSTRIA,1995,25-34 years,296,1385730,32237,21.36,1
Europe,AUSTRIA,1995,35-54 years,573,2139958,32237,26.78,1
Europe,AUSTRIA,1995,5-14 years,8,944589,32237,0.85,1
Europe,AUSTRIA,1995,55-74 years,474,1513763,32237,31.31,1
Europe,AUSTRIA,1995,75+ years,284,488360,32237,58.15,1
Europe,AUSTRIA,1996,15-24 years,120,983202,31660,12.21,1
Europe,AUSTRIA,1996,25-34 years,256,1369210,31660,18.7,1
Europe,AUSTRIA,1996,35-54 years,592,2151727,31660,27.51,1
Europe,AUSTRIA,1996,5-14 years,4,945510,31660,0.42,1
Europe,AUSTRIA,1996,55-74 years,507,1540852,31660,32.9,1
Europe,AUSTRIA,1996,75+ years,300,503205,31660,59.62,1
Europe,AUSTRIA,1997,15-24 years,144,967935,28325,14.88,1
Europe,AUSTRIA,1997,25-34 years,249,1345535,28325,18.51,1
Europe,AUSTRIA,1997,35-54 years,510,2179827,28325,23.4,1
Europe,AUSTRIA,1997,5-14 years,3,945011,28325,0.32,1
Europe,AUSTRIA,1997,55-74 years,444,1554282,28325,28.57,1
Europe,AUSTRIA,1997,75+ years,242,519999,28325,46.54,1
Europe,AUSTRIA,1998,15-24 years,123,959123,28972,12.82,1
Europe,AUSTRIA,1998,25-34 years,211,1313204,28972,16.07,1
Europe,AUSTRIA,1998,35-54 years,523,2218141,28972,23.58,1
Europe,AUSTRIA,1998,5-14 years,8,945182,28972,0.85,1
Europe,AUSTRIA,1998,55-74 years,450,1561063,28972,28.83,1
Europe,AUSTRIA,1998,75+ years,244,536806,28972,45.45,1
Europe,AUSTRIA,1999,15-24 years,124,955553,28722,12.98,1
Europe,AUSTRIA,1999,25-34 years,198,1276944,28722,15.51,1
Europe,AUSTRIA,1999,35-54 years,522,2259525,28722,23.1,1
Europe,AUSTRIA,1999,5-14 years,3,946661,28722,0.32,1
Europe,AUSTRIA,1999,55-74 years,451,1570445,28722,28.72,1
Europe,AUSTRIA,1999,75+ years,257,552481,28722,46.52,1
Europe,AUSTRIA,2000,15-24 years,133,954735,25922,13.93,1
Europe,AUSTRIA,2000,25-34 years,183,1240456,25922,14.75,1
Europe,AUSTRIA,2000,35-54 years,515,2312534,25922,22.27,1
Europe,AUSTRIA,2000,5-14 years,8,945973,25922,0.85,1
Europe,AUSTRIA,2000,55-74 years,485,1570672,25922,30.88,1
Europe,AUSTRIA,2000,75+ years,264,567703,25922,46.5,1
Europe,AUSTRIA,2001,15-24 years,119,958934,25848,12.41,1
Europe,AUSTRIA,2001,25-34 years,183,1204604,25848,15.19,1
Europe,AUSTRIA,2001,35-54 years,503,2370681,25848,21.22,1
Europe,AUSTRIA,2001,5-14 years,2,944745,25848,0.21,1
Europe,AUSTRIA,2001,55-74 years,438,1571132,25848,27.88,1
Europe,AUSTRIA,2001,75+ years,244,584464,25848,41.75,1
Europe,AUSTRIA,2002,15-24 years,116,969217,27772,11.97,1
Europe,AUSTRIA,2002,25-34 years,188,1170648,27772,16.06,1
Europe,AUSTRIA,2002,35-54 years,551,2412519,27772,22.84,1
Europe,AUSTRIA,2002,5-14 years,4,944009,27772,0.42,1
Europe,AUSTRIA,2002,55-74 years,427,1588838,27772,26.87,1
Europe,AUSTRIA,2002,75+ years,267,597931,27772,44.65,1
Europe,AUSTRIA,2003,15-24 years,120,984804,33889,12.19,1
Europe,AUSTRIA,2003,25-34 years,150,1137099,33889,13.19,1
Europe,AUSTRIA,2003,35-54 years,512,2445111,33889,20.94,1
Europe,AUSTRIA,2003,5-14 years,3,937844,33889,0.32,1
Europe,AUSTRIA,2003,55-74 years,410,1610710,33889,25.45,1
Europe,AUSTRIA,2003,75+ years,261,606465,33889,43.04,1
Europe,AUSTRIA,2004,15-24 years,132,1000823,38711,13.19,1
Europe,AUSTRIA,2004,25-34 years,146,1110460,38711,13.15,1
Europe,AUSTRIA,2004,35-54 years,454,2480582,38711,18.3,1
Europe,AUSTRIA,2004,5-14 years,2,929911,38711,0.22,1
Europe,AUSTRIA,2004,55-74 years,426,1632760,38711,26.09,1
Europe,AUSTRIA,2004,75+ years,262,618569,38711,42.36,1
Europe,AUSTRIA,2005,15-24 years,101,1013362,40367,9.97,1
Europe,AUSTRIA,2005,25-34 years,135,1095181,40367,12.33,1
Europe,AUSTRIA,2005,35-54 years,485,2516492,40367,19.27,1
Europe,AUSTRIA,2005,5-14 years,4,919976,40367,0.43,1
Europe,AUSTRIA,2005,55-74 years,427,1651115,40367,25.86,1
Europe,AUSTRIA,2005,75+ years,247,631335,40367,39.12,1
Europe,AUSTRIA,2006,15-24 years,93,1016934,42698,9.15,1
Europe,AUSTRIA,2006,25-34 years,121,1087478,42698,11.13,1
Europe,AUSTRIA,2006,35-54 years,473,2547124,42698,18.57,1
Europe,AUSTRIA,2006,5-14 years,1,905477,42698,0.11,1
Europe,AUSTRIA,2006,55-74 years,357,1668341,42698,21.4,1
Europe,AUSTRIA,2006,75+ years,252,643915,42698,39.14,1
Europe,AUSTRIA,2007,15-24 years,108,1017621,49218,10.61,1
Europe,AUSTRIA,2007,25-34 years,124,1082523,49218,11.45,1
Europe,AUSTRIA,2007,35-54 years,419,2568739,49218,16.31,1
Europe,AUSTRIA,2007,5-14 years,2,888462,49218,0.23,1
Europe,AUSTRIA,2007,55-74 years,382,1685721,49218,22.66,1
Europe,AUSTRIA,2007,75+ years,250,654206,49218,38.21,1
Europe,AUSTRIA,2008,15-24 years,77,1019900,54294,7.55,1
Europe,AUSTRIA,2008,25-34 years,104,1082241,54294,9.61,1
Europe,AUSTRIA,2008,35-54 years,452,2581153,54294,17.51,1
Europe,AUSTRIA,2008,5-14 years,4,872927,54294,0.46,1
Europe,AUSTRIA,2008,55-74 years,358,1707420,54294,20.97,1
Europe,AUSTRIA,2008,75+ years,272,661617,54294,41.11,1
Europe,AUSTRIA,2009,15-24 years,83,1021126,50356,8.13,1
Europe,AUSTRIA,2009,25-34 years,117,1082103,50356,10.81,1
Europe,AUSTRIA,2009,35-54 years,433,2587138,50356,16.74,1
Europe,AUSTRIA,2009,5-14 years,8,858039,50356,0.93,1
Europe,AUSTRIA,2009,55-74 years,382,1731940,50356,22.06,1
Europe,AUSTRIA,2009,75+ years,255,666548,50356,38.26,1
Europe,AUSTRIA,2010,15-24 years,105,1018295,49181,10.31,1
Europe,AUSTRIA,2010,25-34 years,110,1082285,49181,10.16,1
Europe,AUSTRIA,2010,35-54 years,427,2588007,49181,16.5,1
Europe,AUSTRIA,2010,5-14 years,3,846633,49181,0.35,1
Europe,AUSTRIA,2010,55-74 years,377,1761619,49181,21.4,1
Europe,AUSTRIA,2010,75+ years,242,671582,49181,36.03,1
Europe,AUSTRIA,2011,15-24 years,90,1016267,53923,8.86,1
Europe,AUSTRIA,2011,25-34 years,120,1088058,53923,11.03,1
Europe,AUSTRIA,2011,35-54 years,431,2580707,53923,16.7,1
Europe,AUSTRIA,2011,5-14 years,4,835768,53923,0.48,1
Europe,AUSTRIA,2011,55-74 years,389,1798011,53923,21.64,1
Europe,AUSTRIA,2011,75+ years,254,676335,53923,37.56,1
Europe,AUSTRIA,2012,15-24 years,72,1017341,50979,7.08,1
Europe,AUSTRIA,2012,25-34 years,119,1100834,50979,10.81,1
Europe,AUSTRIA,2012,35-54 years,419,2570291,50979,16.3,1
Europe,AUSTRIA,2012,5-14 years,4,825579,50979,0.48,1
Europe,AUSTRIA,2012,55-74 years,397,1836763,50979,21.61,1
Europe,AUSTRIA,2012,75+ years,265,680468,50979,38.94,1
Europe,AUSTRIA,2013,15-24 years,74,1015378,53229,7.29,1
Europe,AUSTRIA,2013,25-34 years,100,1120105,53229,8.93,1
Europe,AUSTRIA,2013,35-54 years,411,2561489,53229,16.05,1
Europe,AUSTRIA,2013,5-14 years,4,820598,53229,0.49,1
Europe,AUSTRIA,2013,55-74 years,417,1875431,53229,22.23,1
Europe,AUSTRIA,2013,75+ years,285,686614,53229,41.51,1
Europe,AUSTRIA,2014,15-24 years,96,1010185,54278,9.5,1
Europe,AUSTRIA,2014,25-34 years,129,1142748,54278,11.29,1
Europe,AUSTRIA,2014,35-54 years,414,2556251,54278,16.2,1
Europe,AUSTRIA,2014,5-14 years,2,819054,54278,0.24,1
Europe,AUSTRIA,2014,55-74 years,390,1900830,54278,20.52,1
Europe,AUSTRIA,2014,75+ years,283,712097,54278,39.74,1
Europe,AUSTRIA,2015,15-24 years,80,1010388,46484,7.92,1
Europe,AUSTRIA,2015,25-34 years,99,1167629,46484,8.48,1
Europe,AUSTRIA,2015,35-54 years,392,2552856,46484,15.36,1
Europe,AUSTRIA,2015,5-14 years,2,822539,46484,0.24,1
Europe,AUSTRIA,2015,55-74 years,394,1913969,46484,20.59,1
Europe,AUSTRIA,2015,75+ years,284,752005,46484,37.77,1
Europe,AUSTRIA,2016,15-24 years,80,1013997,46976,7.89,1
Europe,AUSTRIA,2016,25-34 years,104,1191835,46976,8.73,1
Europe,AUSTRIA,2016,35-54 years,355,2554443,46976,13.9,1
Europe,AUSTRIA,2016,55-74 years,389,1938395,46976,20.07,1
Europe,AUSTRIA,2016,75+ years,273,785959,46976,34.73,1
Europe,BELGIUM,1985,15-24 years,142,1519400,9356,9.35,1
Europe,BELGIUM,1985,25-34 years,323,1519300,9356,21.26,1
Europe,BELGIUM,1985,35-54 years,745,2444200,9356,30.48,1
Europe,BELGIUM,1985,5-14 years,13,1259900,9356,1.03,1
Europe,BELGIUM,1985,55-74 years,725,1906100,9356,38.04,1
Europe,BELGIUM,1985,75+ years,333,620700,9356,53.65,1
Europe,BELGIUM,1986,15-24 years,158,1489600,12992,10.61,1
Europe,BELGIUM,1986,25-34 years,312,1541900,12992,20.23,1
Europe,BELGIUM,1986,35-54 years,728,2458300,12992,29.61,1
Europe,BELGIUM,1986,5-14 years,4,1232900,12992,0.32,1
Europe,BELGIUM,1986,55-74 years,699,1929400,12992,36.23,1
