,continent,country,year,suicides_no,population,gdp_per_capita ($),s_rate
848,Europe,Greece,1997,374,10248806,13968,3.65
849,Europe,Greece,1998,403,10310630,14008,3.91
850,Europe,Greece,1999,381,10362363,13756,3.68
851,Europe,Greece,2000,382,10403059,12509,3.67
852,Europe,Greece,2001,334,10441529,13043,3.2
853,Europe,Greece,2002,323,10482045,14676,3.08
854,Europe,Greece,2003,375,10515665,19202,3.57
855,Europe,Greece,2004,353,10547290,22804,3.35
856,Europe,Greece,2005,400,10582816,23414,3.78
857,Europe,Greece,2006,394,10618891,25739,3.71
858,Europe,Greece,2007,328,10653591,29896,3.08
859,Europe,Greece,2008,373,10686723,33168,3.49
860,Europe,Greece,2009,391,10719618,30785,3.65
861,Europe,Greece,2010,377,10735384,27886,3.51
862,Europe,Greece,2011,477,10728724,26825,4.45
863,Europe,Greece,2012,508,10539802,23309,4.82
864,Europe,Greece,2013,533,10431289,22994,5.11
865,Europe,Greece,2014,565,10380547,22834,5.44
866,Europe,Greece,2015,529,10331286,18927,5.12
867,N. america,Grenada,1985,1,85375,1965,1.17
868,N. america,Grenada,1988,4,87300,2707,4.58
869,N. america,Grenada,1989,4,81805,3268,4.89
870,N. america,Grenada,1990,2,82000,3391,2.44
871,N. america,Grenada,1991,0,82400,3650,0.0
872,N. america,Grenada,1992,0,83528,3713,0.0
873,N. america,Grenada,1993,3,85304,3632,3.52
874,N. america,Grenada,1994,4,87036,3735,4.6
875,N. america,Grenada,1995,1,88433,3869,1.13
876,N. america,Grenada,1996,1,89772,4087,1.11
877,N. america,Grenada,2001,0,91415,5693,0.0
878,N. america,Grenada,2002,0,91908,5879,0.0
879,N. america,Grenada,2003,4,92567,6385,4.32
880,N. america,Grenada,2004,1,93202,6428,1.07
881,N. america,Grenada,2005,6,93685,7422,6.4
882,N. america,Grenada,2006,1,94126,7423,1.06
883,N. america,Grenada,2007,3,94418,8035,3.18
884,N. america,Grenada,2008,0,94585,8733,0.0
885,N. america,Grenada,2009,0,94746,8140,0.0
886,N. america,Grenada,2010,0,94980,8118,0.0
887,N. america,Grenada,2011,1,95102,8188,1.05
888,N. america,Grenada,2012,2,95426,8382,2.1
889,N. america,Grenada,2013,0,95876,8789,0.0
890,N. america,Grenada,2014,0,96393,9456,0.0
891,N. america,Grenada,2015,0,96892,10290,0.0
892,N. america,Grenada,2016,0,79012,10838,0.0
893,N. america,Guatemala,1986,203,6924188,1044,2.93
894,N. america,Guatemala,1987,241,7108740,997,3.39
895,N. america,Guatemala,1988,174,7300076,1074,2.38
896,N. america,Guatemala,1989,152,7493108,1122,2.03
897,N. america,Guatemala,1990,158,7683992,996,2.06
898,N. america,Guatemala,1991,156,7880665,1194,1.98
899,N. america,Guatemala,1992,173,8069672,1294,2.14
900,N. america,Guatemala,1993,165,8254958,1381,2.0
901,N. america,Guatemala,1994,142,8443914,1538,1.68
902,N. america,Guatemala,1995,211,8641512,1696,2.44
903,N. america,Guatemala,1996,157,8832326,1775,1.78
904,N. america,Guatemala,1997,179,9044205,1967,1.98
905,N. america,Guatemala,1998,201,9273529,2091,2.17
906,N. america,Guatemala,1999,234,9512666,1926,2.46
907,N. america,Guatemala,2000,182,9755585,1977,1.87
908,N. america,Guatemala,2001,202,10015097,1867,2.02
909,N. america,Guatemala,2002,258,10277166,2022,2.51
910,N. america,Guatemala,2003,253,10542980,2079,2.4
911,N. america,Guatemala,2004,250,10817808,2215,2.31
912,N. america,Guatemala,2005,238,11104906,2450,2.14
913,N. america,Guatemala,2006,298,11397134,2653,2.61
914,N. america,Guatemala,2007,327,11708397,2914,2.79
915,N. america,Guatemala,2008,492,12032885,3252,4.09
916,N. america,Guatemala,2009,511,12359945,3053,4.13
917,N. america,Guatemala,2010,352,12682151,3260,2.78
918,N. america,Guatemala,2011,359,13017342,3661,2.76
919,N. america,Guatemala,2012,420,13335425,3779,3.15
920,N. america,Guatemala,2013,455,13641878,3947,3.34
921,N. america,Guatemala,2014,512,13947190,4210,3.67
922,N. america,Guatemala,2015,494,14258397,4472,3.46
923,S. america,Guyana,1988,56,654894,632,8.55
924,S. america,Guyana,1989,94,654104,581,14.37
925,S. america,Guyana,1990,89,653426,607,13.62
926,S. america,Guyana,1991,105,654620,514,16.04
927,S. america,Guyana,1992,78,656713,561,11.88
928,S. america,Guyana,1993,72,658831,671,10.93
929,S. america,Guyana,1994,86,660582,819,13.02
930,S. america,Guyana,1995,99,661682,939,14.96
931,S. america,Guyana,1996,60,659048,1070,9.1
932,S. america,Guyana,1997,40,657584,1139,6.08
933,S. america,Guyana,1998,35,657089,1092,5.33
934,S. america,Guyana,1999,163,657094,1057,24.81
935,S. america,Guyana,2001,197,660426,1054,29.83
936,S. america,Guyana,2002,176,662839,1090,26.55
937,S. america,Guyana,2003,198,664705,1116,29.79
938,S. america,Guyana,2004,186,666308,1180,27.92
939,S. america,Guyana,2005,169,667709,1235,25.31
940,S. america,Guyana,2006,201,668408,2182,30.07
941,S. america,Guyana,2007,185,668788,2602,27.66
942,S. america,Guyana,2008,168,669253,2873,25.1
943,S. america,Guyana,2009,156,670155,3076,23.28
944,S. america,Guyana,2010,205,671825,3384,30.51
945,S. america,Guyana,2011,192,675283,3815,28.43
946,S. america,Guyana,2012,206,679356,4212,30.32
947,S. america,Guyana,2013,210,683867,4372,30.71
948,Europe,Hungary,1991,3993,9757766,3561,40.92
949,Europe,Hungary,1992,4000,9754956,3970,41.0
950,Europe,Hungary,1993,3694,9747902,4116,37.9
951,Europe,Hungary,1994,3625,9740817,4431,37.21
952,Europe,Hungary,1995,3366,9737248,4767,34.57
953,Europe,Hungary,1996,3436,9737250,4792,35.29
954,Europe,Hungary,1997,3208,9737781,4856,32.94
955,Europe,Hungary,1998,3245,9734373,5010,33.34
956,Europe,Hungary,1999,3326,9553064,5147,34.82
957,Europe,Hungary,2000,3269,9527034,4966,34.31
958,Europe,Hungary,2001,2978,9704598,5546,30.69
959,Europe,Hungary,2002,2839,9680164,6995,29.33
960,Europe,Hungary,2003,2800,9652533,8840,29.01
961,Europe,Hungary,2004,2742,9630044,10806,28.47
962,Europe,Hungary,2005,2619,9608943,11764,27.26
963,Europe,Hungary,2006,2461,9591110,12021,25.66
964,Europe,Hungary,2007,2450,9572938,14609,25.59
965,Europe,Hungary,2008,2476,9552784,16540,25.92
966,Europe,Hungary,2009,2460,9534237,13697,25.8
967,Europe,Hungary,2010,2489,9514005,13761,26.16
968,Europe,Hungary,2011,2420,9495011,14827,25.49
969,Europe,Hungary,2012,2349,9453181,13525,24.85
970,Europe,Hungary,2013,2092,9433840,14333,22.18
971,Europe,Hungary,2014,1925,9412788,14886,20.45
972,Europe,Hungary,2015,1868,9389519,13087,19.89
973,Europe,Hungary,2016,1761,8390370,13448,20.99
974,Europe,Iceland,1985,32,220100,13357,14.54
975,Europe,Iceland,1986,37,222300,17681,16.64
976,Europe,Iceland,1987,36,225600,24107,15.96
977,Europe,Iceland,1988,35,229200,26249,15.27
978,Europe,Iceland,1989,22,232000,24089,9.48
979,Europe,Iceland,1990,40,233300,27316,17.15
980,Europe,Iceland,1991,37,235900,28857,15.68
981,Europe,Iceland,1992,28,238000,29311,11.76
982,Europe,Iceland,1993,26,240500,25474,10.81
983,Europe,Iceland,1994,25,242700,25937,10.3
984,Europe,Iceland,1995,27,244700,28680,11.03
985,Europe,Iceland,1996,33,246500,29740,13.39
986,Europe,Iceland,1997,33,248929,30326,13.26
987,Europe,Iceland,1998,30,252253,33513,11.89
988,Europe,Iceland,1999,31,255820,34858,12.12
989,Europe,Iceland,2000,50,259723,34372,19.25
990,Europe,Iceland,2001,36,263738,30850,13.65
991,Europe,Iceland,2002,30,266455,34556,11.26
992,Europe,Iceland,2003,26,268330,42174,9.69
993,Europe,Iceland,2004,35,271588,50528,12.89
994,Europe,Iceland,2005,33,274929,60712,12.0
995,Europe,Iceland,2006,32,282999,60243,11.31
996,Europe,Iceland,2007,37,289712,73590,12.77
997,Europe,Iceland,2008,38,296836,59489,12.8
998,Europe,Iceland,2009,36,296204,43700,12.15
999,Europe,Iceland,2010,46,294620,45179,15.61
1000,Europe,Iceland,2011,27,295475,49861,9.14
1001,Europe,Iceland,2012,37,297238,48083,12.45
1002,Europe,Iceland,2013,49,300456,51749,16.31
1003,Europe,Iceland,2014,44,304472,56833,14.45
1004,Europe,Iceland,2015,40,308554,54909,12.96
1005,Europe,Iceland,2016,40,268773,64708,14.88
1006,Europe,Ireland,1985,276,3208200,6638,8.6
1007,Europe,Ireland,1986,282,3216700,8937,8.77
1008,Europe,Ireland,1987,245,3229700,10515,7.59
1009,Europe,Ireland,1988,266,3233500,11696,8.23
1010,Europe,Ireland,1989,278,3223200,12188,8.62
1011,Europe,Ireland,1990,334,3224000,15312,10.36
1012,Europe,Ireland,1991,345,3252100,15328,10.61
1013,Europe,Ireland,1992,362,3283400,17051,11.03
1014,Europe,Ireland,1993,326,3306500,15872,9.86
1015,Europe,Ireland,1994,394,3326000,17188,11.85
1016,Europe,Ireland,1995,403,3345900,20689,12.04
1017,Europe,Ireland,1996,408,3375800,22478,12.09
1018,Europe,Ireland,1997,466,3414285,24259,13.65
1019,Europe,Ireland,1998,498,3449415,26115,14.44
1020,Europe,Ireland,1999,424,3481871,28344,12.18
1021,Europe,Ireland,2000,463,3523376,28340,13.14
1022,Europe,Ireland,2001,488,3573974,30536,13.65
1023,Europe,Ireland,2002,449,3639573,35154,12.34
1024,Europe,Ireland,2003,454,3694079,44473,12.29
1025,Europe,Ireland,2004,464,3752679,51662,12.36
1026,Europe,Ireland,2005,451,3833357,55213,11.77
1027,Europe,Ireland,2006,452,3937578,58941,11.48
1028,Europe,Ireland,2007,458,4026707,67032,11.37
1029,Europe,Ireland,2008,506,4094192,67173,12.36
1030,Europe,Ireland,2009,527,4117667,57390,12.8
1031,Europe,Ireland,2010,486,4264857,52042,11.4
1032,Europe,Ireland,2011,554,4218849,56655,13.13
1033,Europe,Ireland,2012,542,4220806,53443,12.84
1034,Europe,Ireland,2013,487,4227378,56628,11.52
1035,Europe,Ireland,2014,486,4328043,59634,11.23
1036,Asia,Israel,1985,234,3753500,7325,6.23
1037,Asia,Israel,1986,278,3813500,8938,7.29
1038,Asia,Israel,1987,271,3878100,10558,6.99
1039,Asia,Israel,1988,303,3947300,12687,7.68
1040,Asia,Israel,1989,353,4021100,12405,8.78
1041,Asia,Israel,1990,304,4156100,14193,7.31
1042,Asia,Israel,1991,359,4423200,15267,8.12
1043,Asia,Israel,1992,381,4588900,16469,8.3
1044,Asia,Israel,1993,371,4717000,16102,7.87
1045,Asia,Israel,1994,416,4844900,17814,8.59
1046,Asia,Israel,1995,360,4977700,20159,7.23
1047,Asia,Israel,1996,306,5103700,21545,6.0
1048,Asia,Israel,1997,379,5233500,21921,7.24
1049,Asia,Israel,1998,318,5360200,21637,5.93
1050,Asia,Israel,1999,368,5497047,21319,6.69
1051,Asia,Israel,2000,394,5643291,23451,6.98
1052,Asia,Israel,2001,398,5777467,22623,6.89
1053,Asia,Israel,2002,382,5895508,20536,6.48
1054,Asia,Israel,2003,417,6003127,21133,6.95
1055,Asia,Israel,2004,411,6109931,22168,6.73
1056,Asia,Israel,2005,425,6220861,22901,6.83
1057,Asia,Israel,2006,367,6334485,24306,5.79
1058,Asia,Israel,2007,326,6448814,27712,5.06
1059,Asia,Israel,2008,354,6565602,32874,5.39
1060,Asia,Israel,2009,404,6731835,30812,6.0
1061,Asia,Israel,2010,480,6849825,34104,7.01
1062,Asia,Israel,2011,409,6971495,37528,5.87
1063,Asia,Israel,2012,430,7095360,36263,6.06
1064,Asia,Israel,2013,372,7226008,40477,5.15
1065,Asia,Israel,2014,382,7366252,41869,5.19
1066,Asia,Israel,2015,342,7516180,39793,4.55
1067,Europe,Italy,1985,4759,54114700,8329,8.79
1068,Europe,Italy,1986,4691,54267500,11762,8.64
1069,Europe,Italy,1987,4516,54424100,14756,8.3
1070,Europe,Italy,1988,4381,54579700,16282,8.03
1071,Europe,Italy,1989,4342,54697200,16922,7.94
1072,Europe,Italy,1990,4402,54831700,21472,8.03
1073,Europe,Italy,1991,4453,54465500,22805,8.18
1074,Europe,Italy,1992,4543,54154898,24297,8.39
1075,Europe,Italy,1993,4697,54140523,19605,8.68
1076,Europe,Italy,1994,4536,54143049,20235,8.38
1077,Europe,Italy,1995,4569,54141172,21625,8.44
1078,Europe,Italy,1996,4689,54150332,24172,8.66
1079,Europe,Italy,1997,4694,54181477,22869,8.66
1080,Europe,Italy,1998,4504,54250592,23342,8.3
1081,Europe,Italy,1999,4115,54280527,23002,7.58
1082,Europe,Italy,2000,4108,54298946,21027,7.57
1083,Europe,Italy,2001,4030,54333844,21392,7.42
1084,Europe,Italy,2002,4069,54526842,23227,7.46
1085,Europe,Italy,2003,4075,54937570,28572,7.42
1086,Europe,Italy,2004,3986,54988156,32704,7.25
1087,Europe,Italy,2005,3742,55244690,33536,6.77
1088,Europe,Italy,2006,3700,56180672,34578,6.59
1089,Europe,Italy,2007,3757,56583578,38935,6.64
1090,Europe,Italy,2008,3904,57009825,41935,6.85
1091,Europe,Italy,2009,3974,57351830,38101,6.93
1092,Europe,Italy,2010,3989,57637843,36869,6.92
1093,Europe,Italy,2011,4153,56610149,40210,7.34
1094,Europe,Italy,2012,4257,56795085,36497,7.5
1095,Europe,Italy,2013,4290,57503331,37050,7.46
1096,Europe,Italy,2014,4147,58100676,37035,7.14
1097,Europe,Italy,2015,3988,58117697,31537,6.86
1098,N. america,Jamaica,1985,8,2035000,1032,0.39
1099,N. america,Jamaica,1986,1,2052531,1342,0.05
1100,N. america,Jamaica,1987,13,2070760,1587,0.63
1101,N. america,Jamaica,1988,5,2090603,1831,0.24
1102,N. america,Jamaica,1989,0,2111039,2087,0.0
1103,N. america,Jamaica,1990,3,2131041,2155,0.14
1104,N. america,Jamaica,1991,1,2154835,1889,0.05
1105,N. america,Jamaica,2000,3,2367841,3795,0.13
1106,N. america,Jamaica,2001,5,2391278,3838,0.21
1107,N. america,Jamaica,2002,2,2415717,4013,0.08
1108,N. america,Jamaica,2003,2,2440426,3852,0.08
1109,N. america,Jamaica,2004,1,2464408,4119,0.04
1110,N. america,Jamaica,2005,51,2487169,4505,2.05
1111,N. america,Jamaica,2006,0,2512597,4738,0.0
1112,N. america,Jamaica,2009,36,2568883,4686,1.4
1113,N. america,Jamaica,2010,3,2586652,5100,0.12
1114,N. america,Jamaica,2011,50,2601037,5552,1.92
1115,Asia,Japan,1985,23257,112809200,12401,20.62
1116,Asia,Japan,1986,25484,113679000,18288,22.42
1117,Asia,Japan,1987,23663,114416000,22137,20.68
1118,Asia,Japan,1988,22676,115101000,26687,19.7
1119,Asia,Japan,1989,21013,115766000,26389,18.15
1120,Asia,Japan,1990,20002,116251400,26949,17.21
1121,Asia,Japan,1991,19780,116802000,30688,16.93
1122,Asia,Japan,1992,20756,117311000,33320,17.69
1123,Asia,Japan,1993,20353,117735000,37832,17.29
1124,Asia,Japan,1994,20744,118064000,41563,17.57
1125,Asia,Japan,1995,21249,118349500,46043,17.95
1126,Asia,Japan,1996,21967,118785000,40693,18.49
1127,Asia,Japan,1997,23280,119060000,37080,19.55
1128,Asia,Japan,1998,31458,119338000,33791,26.36
1129,Asia,Japan,1999,31115,119540000,38164,26.03
1130,Asia,Japan,2000,29989,119752660,40813,25.04
1131,Asia,Japan,2001,29132,120066000,35843,24.26
1132,Asia,Japan,2002,29715,120189000,34239,24.72
1133,Asia,Japan,2003,31881,120395000,36926,26.48
1134,Asia,Japan,2004,30034,120500000,39960,24.92
1135,Asia,Japan,2005,30369,120657507,39412,25.17
1136,Asia,Japan,2006,29769,120702000,37534,24.66
1137,Asia,Japan,2007,30665,120704000,37408,25.41
1138,Asia,Japan,2008,30073,120602000,41773,24.94
1139,Asia,Japan,2009,30523,120496000,43415,25.33
1140,Asia,Japan,2010,29411,121127267,47059,24.28
1141,Asia,Japan,2011,28766,120927000,50919,23.79
1142,Asia,Japan,2012,26338,120735000,51379,21.81
1143,Asia,Japan,2013,25991,120514000,42781,21.57
1144,Asia,Japan,2014,24357,120274000,40328,20.25
1145,Asia,Japan,2015,23092,120376310,36510,19.18
1146,Asia,Kazakhstan,1990,3172,14773900,1823,21.47
1147,Asia,Kazakhstan,1991,3082,14952800,1664,20.61
1148,Asia,Kazakhstan,1992,3356,15150100,1644,22.15
1149,Asia,Kazakhstan,1993,4019,15331400,1527,26.21
1150,Asia,Kazakhstan,1994,4024,15229600,1395,26.42
1151,Asia,Kazakhstan,1995,4706,14989600,1359,31.4
1152,Asia,Kazakhstan,1996,4773,14487700,1452,32.95
1153,Asia,Kazakhstan,1997,4642,14394600,1540,32.25
1154,Asia,Kazakhstan,1998,4313,13844200,1599,31.15
1155,Asia,Kazakhstan,1999,3991,13773400,1225,28.98
1156,Asia,Kazakhstan,2000,4428,13772422,1328,32.15
1157,Asia,Kazakhstan,2001,4377,13772696,1608,31.78
1158,Asia,Kazakhstan,2002,4240,13777476,1788,30.77
1159,Asia,Kazakhstan,2003,4321,13811863,2232,31.28
1160,Asia,Kazakhstan,2004,4394,13873328,3110,31.67
1161,Asia,Kazakhstan,2005,3903,13947770,4096,27.98
1162,Asia,Kazakhstan,2006,4076,14037676,5770,29.04
1163,Asia,Kazakhstan,2007,4141,14125606,7423,29.32
1164,Asia,Kazakhstan,2008,3997,14216053,9387,28.12
1165,Asia,Kazakhstan,2009,3838,14370635,8024,26.71
1166,Asia,Kazakhstan,2010,3609,14713167,10062,24.53
1167,Asia,Kazakhstan,2011,3401,14853350,12969,22.9
1168,Asia,Kazakhstan,2012,3240,15023549,13845,21.57
1169,Asia,Kazakhstan,2013,3512,15215382,15552,23.08
1170,Asia,Kazakhstan,2014,3119,15428844,14351,20.22
1171,Asia,Kazakhstan,2015,2872,15646752,11784,18.36
1172,Oceania,Kiribati,1991,10,61855,768,16.17
1173,Oceania,Kiribati,1992,4,62856,759,6.36
1174,Oceania,Kiribati,1993,12,63848,735,18.79
1175,Oceania,Kiribati,1994,10,64871,845,15.42
1176,Oceania,Kiribati,1995,2,65923,855,3.03
1177,Oceania,Kiribati,1996,6,67126,991,8.94
1178,Oceania,Kiribati,1997,5,68328,988,7.32
1179,Oceania,Kiribati,1998,4,69570,939,5.75
1180,Oceania,Kiribati,1999,0,70938,973,0.0
1181,Oceania,Kiribati,2000,0,72440,928,0.0
1182,Oceania,Kiribati,2001,0,73851,854,0.0
1183,Asia,Kuwait,1985,17,1468000,14607,1.16
1184,Asia,Kuwait,1986,16,1535300,11661,1.04
1185,Asia,Kuwait,1987,16,1606300,13924,1.0
1186,Asia,Kuwait,1993,18,1273600,18798,1.41
1187,Asia,Kuwait,1994,30,1448000,17161,2.07
1188,Asia,Kuwait,1995,26,1511100,17995,1.72
1189,Asia,Kuwait,1996,30,1568700,20076,1.91
1190,Asia,Kuwait,1997,33,1617500,18766,2.04
1191,Asia,Kuwait,1998,35,1825766,14209,1.92
1192,Asia,Kuwait,1999,46,1898700,15864,2.42
1193,Asia,Kuwait,2000,34,1973153,19112,1.72
1194,Asia,Kuwait,2001,30,2038530,17116,1.47
1195,Asia,Kuwait,2002,45,2158603,17668,2.08
1196,Asia,Kuwait,2003,44,1950622,24544,2.26
1197,Asia,Kuwait,2004,45,1996086,29778,2.25
1198,Asia,Kuwait,2005,52,2062968,39166,2.52
1199,Asia,Kuwait,2006,45,2165713,46890,2.08
1200,Asia,Kuwait,2007,51,3074918,37283,1.66
1201,Asia,Kuwait,2008,47,3369394,43746,1.39
1202,Asia,Kuwait,2009,61,3165654,33453,1.93
1203,Asia,Kuwait,2010,39,3281614,35171,1.19
1204,Asia,Kuwait,2011,41,3333698,46203,1.23
1205,Asia,Kuwait,2012,56,3496698,49781,1.6
1206,Asia,Kuwait,2013,41,3574090,48729,1.15
1207,Asia,Kuwait,2014,68,3715284,43774,1.83
1208,Asia,Kyrgyzstan,1990,547,3737300,715,14.64
1209,Asia,Kyrgyzstan,1991,543,3796500,677,14.3
1210,Asia,Kyrgyzstan,1992,491,3839300,603,12.79
1211,Asia,Kyrgyzstan,1993,563,3841200,528,14.66
1212,Asia,Kyrgyzstan,1994,581,3851100,437,15.09
1213,Asia,Kyrgyzstan,1995,605,3905400,425,15.49
1214,Asia,Kyrgyzstan,1996,480,3978800,459,12.06
1215,Asia,Kyrgyzstan,1997,496,4059900,435,12.22
1216,Asia,Kyrgyzstan,1998,509,4139700,398,12.3
1217,Asia,Kyrgyzstan,1999,556,4298100,291,12.94
1218,Asia,Kyrgyzstan,2000,510,4369202,313,11.67
1219,Asia,Kyrgyzstan,2001,560,4425784,345,12.65
1220,Asia,Kyrgyzstan,2002,567,4473163,359,12.68
1221,Asia,Kyrgyzstan,2003,479,4520843,424,10.6
1222,Asia,Kyrgyzstan,2004,438,4572278,484,9.58
1223,Asia,Kyrgyzstan,2005,470,4614533,533,10.19
1224,Asia,Kyrgyzstan,2006,463,4646475,610,9.96
1225,Asia,Kyrgyzstan,2007,482,4668640,814,10.32
1226,Asia,Kyrgyzstan,2008,473,4690924,1096,10.08
1227,Asia,Kyrgyzstan,2009,458,4800134,977,9.54
1228,Asia,Kyrgyzstan,2010,500,4837556,991,10.34
1229,Asia,Kyrgyzstan,2011,471,4870538,1273,9.67
1230,Asia,Kyrgyzstan,2012,524,4932360,1339,10.62
1231,Asia,Kyrgyzstan,2013,446,5012200,1463,8.9
1232,Asia,Kyrgyzstan,2014,461,5096430,1465,9.05
1233,Asia,Kyrgyzstan,2015,417,5195827,1285,8.03
1234,Europe,Latvia,1995,1024,2374700,2438,43.12
1235,Europe,Latvia,1996,922,2363400,2526,39.01
1236,Europe,Latvia,1997,886,2354700,2771,37.63
1237,Europe,Latvia,1998,839,2344100,3061,35.79
1238,Europe,Latvia,1999,763,2333400,3228,32.7
1239,Europe,Latvia,2000,770,2272107,3494,33.89
1240,Europe,Latvia,2001,708,2242227,3724,31.58
1241,Europe,Latvia,2002,670,2214484,4311,30.26
1242,Europe,Latvia,2003,604,2190211,5364,27.58
1243,Europe,Latvia,2004,563,2163477,6644,26.02
1244,Europe,Latvia,2005,564,2137831,7916,26.38
1245,Europe,Latvia,2006,487,2115215,10139,23.02
1246,Europe,Latvia,2007,453,2093878,14758,21.63
1247,Europe,Latvia,2008,527,2067529,17217,25.49
1248,Europe,Latvia,2009,516,2030316,12890,25.41
1249,Europe,Latvia,2010,438,1987906,11951,22.03
1250,Europe,Latvia,2011,440,1953611,14447,22.52
1251,Europe,Latvia,2012,444,1931521,14558,22.99
1252,Europe,Latvia,2013,383,1912464,15820,20.03
1253,Europe,Latvia,2014,382,1894041,16544,20.17
1254,Europe,Latvia,2015,387,1875522,14382,20.63
1255,Europe,Lithuania,1995,1694,3387149,2324,50.01
1256,Europe,Lithuania,1996,1722,3375163,2484,51.02
1257,Europe,Lithuania,1997,1632,3364273,3008,48.51
1258,Europe,Lithuania,1998,1553,3350973,3354,46.34
1259,Europe,Lithuania,1999,1550,3333452,3292,46.5
1260,Europe,Lithuania,2000,1631,3315125,3481,49.2
1261,Europe,Lithuania,2001,1533,3294138,3719,46.54
1262,Europe,Lithuania,2002,1551,3274488,4360,47.37
1263,Europe,Lithuania,2003,1455,3254127,5778,44.71
1264,Europe,Lithuania,2004,1380,3222969,7028,42.82
1265,Europe,Lithuania,2005,1319,3174728,8229,41.55
1266,Europe,Lithuania,2006,1049,3125767,9667,33.56
1267,Europe,Lithuania,2007,1025,3087867,12869,33.19
1268,Europe,Lithuania,2008,1111,3053756,15669,36.38
1269,Europe,Lithuania,2009,1138,3016497,12412,37.73
1270,Europe,Lithuania,2010,1018,2949737,12584,34.51
1271,Europe,Lithuania,2011,1018,2879805,15097,35.35
1272,Europe,Lithuania,2012,927,2837770,15099,32.67
1273,Europe,Lithuania,2013,1085,2806627,16538,38.66
1274,Europe,Lithuania,2014,930,2781577,17442,33.43
1275,Europe,Lithuania,2015,896,2753926,15073,32.54
1276,Europe,Lithuania,2016,822,2445296,15742,33.62
1277,Europe,Luxembourg,1985,55,344800,13743,15.95
1278,Europe,Luxembourg,1986,51,346000,20004,14.74
1279,Europe,Luxembourg,1987,74,349400,24654,21.18
1280,Europe,Luxembourg,1988,69,352300,27676,19.59
1281,Europe,Luxembourg,1989,73,355400,29239,20.54
1282,Europe,Luxembourg,1990,68,358800,36871,18.95
1283,Europe,Luxembourg,1991,77,362900,39465,21.22
1284,Europe,Luxembourg,1992,59,367300,43740,16.06
1285,Europe,Luxembourg,1993,64,372000,44320,17.2
1286,Europe,Luxembourg,1994,74,377000,48610,19.63
1287,Europe,Luxembourg,1995,63,382100,56499,16.49
1288,Europe,Luxembourg,1996,72,387700,56169,18.57
1289,Europe,Luxembourg,1997,81,392600,50260,20.63
1290,Europe,Luxembourg,1998,64,397915,50788,16.08
1291,Europe,Luxembourg,1999,70,403890,55054,17.33
1292,Europe,Luxembourg,2000,62,410164,51841,15.12
1293,Europe,Luxembourg,2001,73,413930,51391,17.64
1294,Europe,Luxembourg,2002,85,418106,56484,20.33
1295,Europe,Luxembourg,2003,48,423654,69768,11.33
1296,Europe,Luxembourg,2004,62,430128,80639,14.41
1297,Europe,Luxembourg,2005,49,437338,85397,11.2
1298,Europe,Luxembourg,2006,65,444821,95351,14.61
1299,Europe,Luxembourg,2007,78,452012,112581,17.26
1300,Europe,Luxembourg,2008,43,460371,121315,9.34
1301,Europe,Luxembourg,2009,48,469209,109483,10.23
1302,Europe,Luxembourg,2010,54,477979,111328,11.3
1303,Europe,Luxembourg,2011,55,488918,122729,11.25
1304,Europe,Luxembourg,2012,51,501044,113120,10.18
1305,Europe,Luxembourg,2013,40,512689,120423,7.8
1306,Europe,Luxembourg,2014,67,524940,126352,12.76
1307,Europe,Luxembourg,2015,64,537748,107456,11.9
1308,Asia,Macau,1994,27,346542,18081,7.79
1309,Asia,Maldives,2000,0,247387,2524,0.0
1310,Asia,Maldives,2001,3,255503,3406,1.17
1311,Asia,Maldives,2002,3,263747,3401,1.14
1312,Asia,Maldives,2003,4,272110,3867,1.47
1313,Asia,Maldives,2004,1,280526,4373,0.36
1314,Asia,Maldives,2005,1,288936,4026,0.35
1315,Asia,Maldives,2007,5,305536,6115,1.64
1316,Asia,Maldives,2008,0,313924,7236,0.0
1317,Asia,Maldives,2010,1,331559,7806,0.3
1318,Asia,Maldives,2011,2,341018,8135,0.59
1319,Europe,Malta,1985,2,307200,3639,0.65
1320,Europe,Malta,1986,1,315800,4544,0.32
1321,Europe,Malta,1987,1,317400,5517,0.32
1322,Europe,Malta,1988,9,320800,6295,2.81
1323,Europe,Malta,1989,23,324000,6539,7.1
1324,Europe,Malta,1990,8,327400,7780,2.44
1325,Europe,Malta,1991,10,330800,8313,3.02
1326,Europe,Malta,1992,18,334300,9040,5.38
1327,Europe,Malta,1993,16,337700,8022,4.74
1328,Europe,Malta,1994,15,341700,8775,4.39
1329,Europe,Malta,1995,17,344900,9974,4.93
1330,Europe,Malta,1996,10,348200,10254,2.87
1331,Europe,Malta,1997,15,350400,10575,4.28
1332,Europe,Malta,1998,12,353400,11103,3.4
1333,Europe,Malta,1999,27,355600,11607,7.59
1334,Europe,Malta,2000,23,362676,11873,6.34
1335,Europe,Malta,2001,30,370541,11691,8.1
1336,Europe,Malta,2002,19,374456,12524,5.07
1337,Europe,Malta,2003,20,377785,14444,5.29
1338,Europe,Malta,2004,24,380918,15916,6.3
1339,Europe,Malta,2005,19,384111,16648,4.95
1340,Europe,Malta,2006,26,386038,17504,6.74
1341,Europe,Malta,2007,26,387581,20333,6.71
1342,Europe,Malta,2008,14,390195,23007,3.59
1343,Europe,Malta,2009,36,393102,21695,9.16
1344,Europe,Malta,2010,31,394949,22132,7.85
1345,Europe,Malta,2011,20,396423,23984,5.05
