"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","LABCOMP","TOT","AGRWTH","A","1986",5.168118,
"AUS","LABCOMP","TOT","AGRWTH","A","1987",5.91559,
"AUS","LABCOMP","TOT","AGRWTH","A","1988",7.255069,
"AUS","LABCOMP","TOT","AGRWTH","A","1989",5.978699,
"AUS","LABCOMP","TOT","AGRWTH","A","1990",6.079849,
"AUS","LABCOMP","TOT","AGRWTH","A","1991",3.586471,
"AUS","LABCOMP","TOT","AGRWTH","A","1992",3.418437,
"AUS","LABCOMP","TOT","AGRWTH","A","1993",0.22851,
"AUS","LABCOMP","TOT","AGRWTH","A","1994",1.571419,
"AUS","LABCOMP","TOT","AGRWTH","A","1995",5.638905,
"AUS","LABCOMP","TOT","AGRWTH","A","1996",6.317506,
"AUS","LABCOMP","TOT","AGRWTH","A","1997",2.936676,
"AUS","LABCOMP","TOT","AGRWTH","A","1998",3.603118,
"AUS","LABCOMP","TOT","AGRWTH","A","1999",1.888844,
"AUS","LABCOMP","TOT","AGRWTH","A","2000",5.489816,
"AUS","LABCOMP","TOT","AGRWTH","A","2001",5.170806,
"AUS","LABCOMP","TOT","AGRWTH","A","2002",3.633424,
"AUS","LABCOMP","TOT","AGRWTH","A","2003",4.339515,
"AUS","LABCOMP","TOT","AGRWTH","A","2004",3.418581,
"AUS","LABCOMP","TOT","AGRWTH","A","2005",4.108213,
"AUS","LABCOMP","TOT","AGRWTH","A","2006",5.25018,
"AUS","LABCOMP","TOT","AGRWTH","A","2007",6.134464,
"AUS","LABCOMP","TOT","AGRWTH","A","2008",5.41187,
"AUS","LABCOMP","TOT","AGRWTH","A","2009",0.712338,
"AUS","LABCOMP","TOT","AGRWTH","A","2010",7.812032,
"AUS","LABCOMP","TOT","AGRWTH","A","2011",2.785226,
"AUS","LABCOMP","TOT","AGRWTH","A","2012",3.054148,
"AUS","LABCOMP","TOT","AGRWTH","A","2013",2.920955,
"AUS","LABCOMP","TOT","AGRWTH","A","2014",1.182617,
"AUS","LABCOMP","TOT","AGRWTH","A","2015",2.681951,
"AUS","LABCOMP","TOT","AGRWTH","A","2016",-0.260905,
"AUS","LABCOMP","TOT","AGRWTH","A","2017",1.896506,
"AUS","LABCOMP","TOT","IDX2010","A","1985",33.874116,
"AUS","LABCOMP","TOT","IDX2010","A","1986",35.62477,
"AUS","LABCOMP","TOT","IDX2010","A","1987",37.732185,
"AUS","LABCOMP","TOT","IDX2010","A","1988",40.469681,
"AUS","LABCOMP","TOT","IDX2010","A","1989",42.889242,
"AUS","LABCOMP","TOT","IDX2010","A","1990",45.496843,
"AUS","LABCOMP","TOT","IDX2010","A","1991",47.128574,
"AUS","LABCOMP","TOT","IDX2010","A","1992",48.739635,
"AUS","LABCOMP","TOT","IDX2010","A","1993",48.851009,
"AUS","LABCOMP","TOT","IDX2010","A","1994",49.618663,
"AUS","LABCOMP","TOT","IDX2010","A","1995",52.416612,
"AUS","LABCOMP","TOT","IDX2010","A","1996",55.728035,
"AUS","LABCOMP","TOT","IDX2010","A","1997",57.364587,
"AUS","LABCOMP","TOT","IDX2010","A","1998",59.4315,
"AUS","LABCOMP","TOT","IDX2010","A","1999",60.554069,
"AUS","LABCOMP","TOT","IDX2010","A","2000",63.878376,
"AUS","LABCOMP","TOT","IDX2010","A","2001",67.181403,
"AUS","LABCOMP","TOT","IDX2010","A","2002",69.622388,
"AUS","LABCOMP","TOT","IDX2010","A","2003",72.643662,
"AUS","LABCOMP","TOT","IDX2010","A","2004",75.127044,
"AUS","LABCOMP","TOT","IDX2010","A","2005",78.213424,
"AUS","LABCOMP","TOT","IDX2010","A","2006",82.319769,
"AUS","LABCOMP","TOT","IDX2010","A","2007",87.369646,
"AUS","LABCOMP","TOT","IDX2010","A","2008",92.097977,
"AUS","LABCOMP","TOT","IDX2010","A","2009",92.754026,
"AUS","LABCOMP","TOT","IDX2010","A","2010",100,
"AUS","LABCOMP","TOT","IDX2010","A","2011",102.785226,
"AUS","LABCOMP","TOT","IDX2010","A","2012",105.924439,
"AUS","LABCOMP","TOT","IDX2010","A","2013",109.018444,
"AUS","LABCOMP","TOT","IDX2010","A","2014",110.307715,
"AUS","LABCOMP","TOT","IDX2010","A","2015",113.266114,
"AUS","LABCOMP","TOT","IDX2010","A","2016",112.970597,
"AUS","LABCOMP","TOT","IDX2010","A","2017",115.113092,
"AUT","LABCOMP","TOT","AGRWTH","A","1996",-0.031777,
"AUT","LABCOMP","TOT","AGRWTH","A","1997",0.710362,
"AUT","LABCOMP","TOT","AGRWTH","A","1998",3.820385,
"AUT","LABCOMP","TOT","AGRWTH","A","1999",1.918016,
"AUT","LABCOMP","TOT","AGRWTH","A","2000",2.617126,
"AUT","LABCOMP","TOT","AGRWTH","A","2001",1.991982,
"AUT","LABCOMP","TOT","AGRWTH","A","2002",2.389616,
